Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.31670429 1.36207467 0.63568133 0.27200936],[-0.46969104  0.90667975 -0.40215112  2.47158236],12.12693270889369,1.5501737594604492,-0.7579332943058557,-0.7579332943058557
1,[0.30839282 1.3686143  0.64548179 0.26474237],[-0.46048414  0.89907756 -0.41043117  2.47751939],9.844976372792374,1.4519999027252197,-0.6153110232995234,-0.6153110232995234
2,[0.30042219 1.37481687 0.65013571 0.25936859],[-0.45317104  0.89262769 -0.41857476  2.48000837],7.635935177869166,1.4452950954437256,-0.4772459486168229,-0.4772459486168229
3,[0.29381049 1.38020966 0.64368466 0.2559202 ],[-0.44748162  0.88734043 -0.42538062  2.48080939],5.756334831833132,1.454575777053833,-0.35977092698957075,-0.35977092698957075
4,[0.28703626 1.38492988 0.63629587 0.25304878],[-0.44215252  0.88322993 -0.43132276  2.48074562],4.171032011330573,1.4552631378173828,-0.2606895007081608,-0.2606895007081608
5,[0.28066075 1.38920524 0.63008873 0.25040652],[-0.43731151  0.88021791 -0.43662805  2.48020127],2.711692301499302,1.4619691371917725,-0.1694807688437064,-0.1694807688437064
6,[0.27508828 1.39306689 0.6255093  0.2479695 ],[-0.43319431  0.87818743 -0.44133769  2.47940569],1.4553077120914635,1.455838918685913,-0.09095673200571647,-0.09095673200571647
7,[0.27043551 1.39649696 0.62260709 0.24580781],[-0.42987715  0.8769634  -0.44547782  2.47852716],0.463920185358075,1.4823188781738281,-0.028995011584879687,-0.028995011584879687
8,[0.2666417  1.39950551 0.62102479 0.2440057 ],[-0.42731132  0.87635351 -0.44909958  2.47770232],-0.27173798017662143,1.476222038269043,0.01698362376103884,0.01698362376103884
9,[0.26356259 1.40213465 0.62025618 0.24260528],[-0.42537991  0.87618855 -0.45227065  2.47702348],-0.804736236761568,1.4303619861602783,0.050296014797598,0.050296014797598
10,[0.26104666 1.40443806 0.6199449  0.24159538],[-0.42394653  0.87633465 -0.45505875  2.4765269 ],-1.1920971308000718,1.4404699802398682,0.07450607067500449,0.07450607067500449
11,[0.25896711 1.40646728 0.619907   0.24093467],[-0.42288721  0.8766909  -0.45752391  2.4762037 ],-1.4786285325341646,1.516310691833496,0.09241428328338529,0.09241428328338529
12,[0.25722462 1.40826719 0.62004503 0.24057335],[-0.42210216  0.87718371 -0.45971702  2.47602035],-1.696022655456045,1.4634778499603271,0.10600141596600281,0.10600141596600281
13,[0.25574295 1.40987531 0.62030021 0.2404627 ],[-0.42151531  0.8777606  -0.46168036  2.4759336 ],-1.8657709743434308,1.475430965423584,0.11661068589646442,0.11661068589646442
14,[0.25446433 1.41132244 0.62063417 0.24055829],[-0.42107022  0.87838467 -0.46344882  2.47589925],-2.002204670560946,1.4278452396392822,0.12513779191005914,0.12513779191005914
15,[0.25334535 1.41263365 0.6210205  0.24082104],[-0.42072572  0.87903026 -0.46505108  2.47587694],-2.1148481694894254,1.460113763809204,0.1321780105930891,0.1321780105930891
16,[0.25235367 1.41382927 0.62144044 0.24121742],[-0.42045207  0.8796797  -0.46651072  2.47583242],-2.2100622405946466,1.488227128982544,0.1381288900371654,0.1381288900371654
17,[0.25146532 1.41492581 0.62188039 0.2417191 ],[-0.42022804  0.88032093 -0.46784716  2.47573818],-2.292141541348706,1.416085958480835,0.14325884633429412,0.14325884633429412
18,[0.25066264 1.41593676 0.62233032 0.2423025 ],[-0.4200386   0.88094581 -0.46907649  2.47557331],-2.3640330431812493,1.4613189697265625,0.14775206519882808,0.14775206519882808
19,[0.24993265 1.41687314 0.62278284 0.24294821],[-0.41987315  0.88154901 -0.47021206  2.47532285],-2.4278017950884077,1.4495670795440674,0.15173761219302548,0.15173761219302548
20,[0.2492658  1.41774406 0.62323246 0.2436404 ],[-0.41972432  0.88212707 -0.47126502  2.47497695],-2.4849315735250928,1.4689977169036865,0.1553082233453183,0.1553082233453183
21,[0.24865506 1.41855708 0.62367515 0.24436623],[-0.41958699  0.88267792 -0.47224477  2.47453004],-2.5365187190054876,1.4697537422180176,0.15853241993784298,0.15853241993784298
22,[0.24809518 1.41931851 0.62410795 0.24511541],[-0.41945764  0.88320041 -0.47315924  2.47398003],-2.583397266404436,1.4270188808441162,0.16146232915027725,0.16146232915027725
23,[0.24758219 1.42003368 0.62452874 0.24587969],[-0.41933388  0.88369403 -0.47401523  2.47332757],-2.6262200275248535,1.453258991241455,0.16413875172030334,0.16413875172030334
24,[0.24711301 1.42070711 0.62493606 0.24665251],[-0.41921408  0.88415873 -0.47481854  2.47257547],-2.665511485360868,1.5212018489837646,0.16659446783505424,0.16659446783505424
25,[0.24668519 1.42134267 0.62532893 0.24742868],[-0.41909715  0.88459477 -0.47557422  2.47172811],-2.701702658608301,1.477013111114502,0.1688564161630188,0.1688564161630188
26,[0.24629668 1.42194367 0.62570674 0.2482041 ],[-0.41898238  0.8850026  -0.47628667  2.47079102],-2.7351544235055414,1.4659740924835205,0.17094715146909634,0.17094715146909634
27,[0.24594575 1.42251301 0.6260692  0.24897554],[-0.41886929  0.88538284 -0.47695975  2.46977051],-2.7661734251333936,1.4244439601898193,0.1728858390708371,0.1728858390708371
28,[0.2456308  1.42305319 0.62641623 0.24974049],[-0.41875756  0.88573617 -0.47759685  2.46867332],-2.79502320456513,1.4698410034179688,0.17468895028532064,0.17468895028532064
29,[0.24535039 1.42356644 0.62674792 0.25049697],[-0.41864699  0.88606336 -0.47820101  2.46750642],-2.8219322084342444,1.4808392524719238,0.17637076302714028,0.17637076302714028
