Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.29670429 1.36207467 0.63568133],[ 0.27200936 -0.48969104  0.90667975],11.629535599173733,0.8599510192871094,-0.7268459749483583,-0.7268459749483583
1,[0.28673241 1.37101085 0.6256772 ],[ 0.26233973 -0.49969862  0.89723015],9.931954475694335,0.8730592727661133,-0.6207471547308959,-0.6207471547308959
2,[0.27682778 1.37409718 0.61570553],[ 0.2535832  -0.50969805  0.88766309],8.576271116443209,0.7965059280395508,-0.5360169447777006,-0.5360169447777006
3,[0.26690953 1.37133613 0.60582055],[ 0.24624814 -0.51966666  0.87793807],7.47511574778626,0.8615758419036865,-0.46719473423664126,-0.46719473423664126
4,[0.25691837 1.36580763 0.59606068],[ 0.24059993 -0.52958632  0.86808614],6.335741933952966,0.8154957294464111,-0.3959838708720604,-0.3959838708720604
5,[0.2468818  1.35885906 0.58646429],[ 0.23667061 -0.53942188  0.85813267],5.122408341705257,0.8716292381286621,-0.32015052135657857,-0.32015052135657857
6,[0.23677638 1.3511429  0.57708741],[ 0.23412338 -0.5490905   0.84810375],3.9332060629071974,0.8405511379241943,-0.24582537893169984,-0.24582537893169984
7,[0.22677569 1.3433754  0.56802716],[ 0.2322189  -0.55841077  0.83806271],2.971734728701073,0.823817253112793,-0.18573342054381706,-0.18573342054381706
8,[0.21837598 1.33705486 0.5594455 ],[ 0.229974   -0.56704206  0.82815672],2.4998039138284316,0.856687068939209,-0.15623774461427697,-0.15623774461427697
9,[0.2143644  1.33385015 0.5515707 ],[ 0.22670348 -0.57453879  0.81858075],2.5844028715982357,0.8369872570037842,-0.16152517947488973,-0.16152517947488973
10,[0.21449263 1.33361579 0.54466438],[ 0.2224595  -0.58062276  0.80943984],2.828532354001875,0.8308839797973633,-0.17678327212511719,-0.17678327212511719
11,[0.21721033 1.33536051 0.53900508],[ 0.21774813 -0.58529321  0.80073458],2.9155541187562837,0.8213779926300049,-0.18222213242226773,-0.18222213242226773
12,[0.22146556 1.3381689  0.53486911],[ 0.2133712  -0.58871886  0.79238745],2.891295115379466,0.855510950088501,-0.18070594471121662,-0.18070594471121662
13,[0.2265532  1.3412191  0.53244866],[ 0.21034796 -0.5911233   0.78425048],2.881792320688968,0.8269689083099365,-0.1801120200430605,-0.1801120200430605
14,[0.231951   1.34377894 0.53176009],[ 0.20944976 -0.59271781  0.77614058],2.920237484649819,0.8172440528869629,-0.1825148427906137,-0.1825148427906137
15,[0.23731701 1.34535001 0.53264796],[ 0.21077354 -0.59367481  0.76789725],2.931202264140718,0.8881180286407471,-0.18320014150879488,-0.18320014150879488
16,[0.24250248 1.34576195 0.53486687],[ 0.21396861 -0.59412828  0.75941722],2.8250883839015613,0.8356490135192871,-0.17656802399384758,-0.17656802399384758
17,[0.24751562 1.34511295 0.53815066],[ 0.21859981 -0.59418663  0.75065247],2.571807144623148,0.8344707489013672,-0.16073794653894674,-0.16073794653894674
18,[0.25246397 1.34366162 0.54224017],[ 0.22428016 -0.59394756  0.74159136],2.2011943385890125,0.8313319683074951,-0.13757464616181328,-0.13757464616181328
19,[0.25749736 1.34175546 0.54688539],[ 0.23067185 -0.59351098  0.7322401 ],1.7749452665073746,0.8723819255828857,-0.11093407915671091,-0.11093407915671091
20,[0.26275249 1.33979247 0.55183921],[ 0.2374593  -0.59298916  0.72261063],1.3594176701379852,0.8446640968322754,-0.08496360438362408,-0.08496360438362408
21,[0.2683026  1.33818017 0.55685365],[ 0.24433542 -0.59251302  0.71271518],1.004301698640981,0.8401877880096436,-0.06276885616506131,-0.06276885616506131
22,[0.27412326 1.33727149 0.5616845 ],[ 0.25101767 -0.59223214  0.70256617],0.729727054980897,0.8370606899261475,-0.04560794093630606,-0.04560794093630606
23,[0.28007857 1.33729858 0.56610623],[ 0.2572917  -0.5923062   0.69217893],0.5261587829384236,0.8389549255371094,-0.03288492393365147,-0.03288492393365147
24,[0.2859238  1.33834664 0.56993326],[ 0.26305726 -0.5928873   0.68157422],0.36606320581772167,0.8210251331329346,-0.022878950363607604,-0.022878950363607604
25,[0.29133002 1.34037707 0.57303995],[ 0.26834614 -0.59409788  0.67077868],0.2178661507288739,0.856165885925293,-0.013616634420554618,-0.013616634420554618
26,[0.29594997 1.34327006 0.57537107],[ 0.27330341 -0.59601195  0.65982311],0.05355238327126666,0.8421838283538818,-0.003347023954454166,-0.003347023954454166
27,[0.2995211  1.34685675 0.57694041],[ 0.27814284 -0.5986461   0.64873903],-0.14885615203555452,0.8393039703369141,0.009303509502222158,0.009303509502222158
28,[0.30195182 1.35093198 0.57782111],[ 0.28309056 -0.60196171  0.63755511],-0.4015906410427609,0.8218178749084473,0.025099415065172555,0.025099415065172555
29,[0.30334074 1.35525361 0.57813393],[ 0.28832804 -0.6058744   0.62629507],-0.7014200315974631,0.855492115020752,0.043838751974841446,0.043838751974841446
30,[0.30394251 1.35954109 0.57803716],[ 0.29394708 -0.61026548  0.61497805],-1.0276348352496658,0.8272628784179688,0.06422717720310411,0.06422717720310411
31,[0.30412343 1.36348862 0.57771734],[ 0.29992701 -0.61499258  0.6036208 ],-1.347802845096784,0.8093149662017822,0.084237677818549,0.084237677818549
32,[0.3043247  1.36680457 0.57737676],[ 0.30613234 -0.6198991   0.59224087],-1.6298363560396032,0.8747820854187012,0.1018647722524752,0.1018647722524752
33,[0.30501734 1.36926838 0.57721436],[ 0.31232244 -0.62482373  0.58085953],-1.8549789738840092,0.8397259712219238,0.11593618586775058,0.11593618586775058
34,[0.30662614 1.37077094 0.57740094],[ 0.31817606 -0.62961165  0.5695036 ],-2.0255294770656502,0.8449759483337402,0.12659559231660314,0.12659559231660314
35,[0.30943295 1.37131256 0.57805488],[ 0.32334703 -0.63412895  0.55820542],-2.164185013550728,0.8283259868621826,0.1352615633469205,0.1352615633469205
36,[0.3135182  1.37097109 0.57922684],[ 0.32755415 -0.63827966  0.54700179],-2.3049383905353182,0.8699359893798828,0.1440586494084574,0.1440586494084574
37,[0.31877974 1.36987169 0.58089804],[ 0.33066814 -0.6420212   0.53593371],-2.477293141898298,0.8462510108947754,0.15483082136864362,0.15483082136864362
38,[0.32499348 1.36817552 0.58299014],[ 0.3327458  -0.64537246  0.52504814],-2.6902715190051314,0.8337140083312988,0.1681419699378207,0.1681419699378207
39,[0.3318609  1.36608367 0.58538198],[ 0.33400338 -0.64841     0.51440088],-2.925813229356543,0.8406081199645996,0.18286332683478393,0.18286332683478393
40,[0.33902958 1.36384246 0.58792885],[ 0.33475808 -0.65125203  0.50405843],-3.146642301855091,0.838134765625,0.1966651438659432,0.1966651438659432
41,[0.34610922 1.36173433 0.59048221],[ 0.33536113 -0.65403226  0.4940964 ],-3.3152839837809682,0.8326270580291748,0.20720524898631051,0.20720524898631051
42,[0.35271118 1.36004296 0.59290707],[ 0.33612935 -0.65686885  0.48459465],-3.4140355317462237,0.8740262985229492,0.21337722073413898,0.21337722073413898
43,[0.35851496 1.35899574 0.59509426],[ 0.33728528 -0.65983642  0.47563164],-3.453213545529271,0.8428232669830322,0.21582584659557943,0.21582584659557943
44,[0.36332872 1.35870848 0.59696549],[ 0.33892251 -0.66294819  0.46728083],-3.4612565818978154,0.8422620296478271,0.21632853636861346,0.21632853636861346
45,[0.36710825 1.35916136 0.59847272],[ 0.3410028  -0.66615131  0.45961014],-3.464396508340113,0.8155879974365234,0.21652478177125706,0.21652478177125706
46,[0.36993289 1.36021217 0.59959507],[ 0.34337469 -0.66933353  0.45268221],-3.4719413581653504,0.8572123050689697,0.2169963348853344,0.2169963348853344
47,[0.37196145 1.3616321  0.60033531],[ 0.34580175 -0.67233871  0.44655275],-3.476253270611266,0.840346097946167,0.21726582941320413,0.21726582941320413
48,[0.37338663 1.36314995 0.60071644],[ 0.3479995  -0.67499071  0.44126641],-3.464075811153064,0.8281998634338379,0.2165047381970665,0.2165047381970665
49,[0.37439467 1.36449957 0.60077722],[ 0.34968656 -0.67712422  0.43685154],-3.429727548195697,0.8755099773406982,0.21435797176223106,0.21435797176223106
50,[0.37513236 1.36546594 0.60056646],[ 0.35064644 -0.67861705  0.43331669],-3.3813606954282727,0.8444631099700928,0.21133504346426704,0.21133504346426704
51,[0.3756848  1.36591951 0.60013692],[ 0.35077941 -0.67941381  0.43065036],-3.336582049295678,0.8293931484222412,0.20853637808097988,0.20853637808097988
52,[0.37606744 1.36582988 0.59954075],[ 0.35012144 -0.67953364  0.42882344],-3.311378378582342,0.8301219940185547,0.20696114866139637,0.20696114866139637
53,[0.3762331  1.36525894 0.59882704],[ 0.34882752 -0.67906163  0.42779261],-3.3110620370703967,0.8753530979156494,0.2069413773168998,0.2069413773168998
54,[0.37609134 1.36434029 0.59804129],[ 0.34713418 -0.67812977  0.42750348],-3.329227199557441,0.8613467216491699,0.20807669997234007,0.20807669997234007
55,[0.37553615 1.36325138 0.59722554],[ 0.34531472 -0.67689346  0.42789318],-3.353881145890992,0.844855785369873,0.209617571618187,0.209617571618187
56,[0.37447636 1.36218196 0.59641811],[ 0.34363253 -0.67550771  0.42889278],-3.3755029901917846,0.8439021110534668,0.21096893688698654,0.21096893688698654
57,[0.3728625  1.36130131 0.59565284],[ 0.34229662 -0.67410606  0.43042975],-3.3917796483323808,0.8446090221405029,0.2119862280207738,0.2119862280207738
58,[0.37070451 1.36072972 0.59495819],[ 0.34142782 -0.6727847   0.43243006],-3.4067252137915944,0.8298439979553223,0.21292032586197465,0.21292032586197465
59,[0.36807856 1.36052069 0.5943571 ],[ 0.34104377 -0.67159413  0.4348195 ],-3.4257349630490874,0.8637709617614746,0.21410843519056796,0.21410843519056796
60,[0.36512403 1.36065824 0.59386761],[ 0.34106471 -0.67053917  0.43752397],-3.450536489796342,0.8489367961883545,0.2156585306122714,0.2156585306122714
