Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.3057272  1.34858227 0.64549852],[ 0.28386352 -0.48160634  0.91545872],0.6836670042711899,0.544719934463501,-0.0525897695593223,-0.056986496980177534
1,[0.30464477 1.34513179 0.64528603],[ 0.28585713 -0.48350962  0.91422986],0.6398808205350951,0.5136220455169678,-0.0492216015796227,-0.05333673589523173
2,[0.30346175 1.34173174 0.64505469],[ 0.28798147 -0.4853969   0.91299157],0.5952250196940497,0.5488119125366211,-0.04578653997646536,-0.04961448859665331
3,[0.30218479 1.338391   0.64481453],[ 0.29022645 -0.48726412  0.91174253],0.5498224489487094,0.5206477642059326,-0.042294034534516106,-0.04582999491112023
4,[0.30082235 1.33511852 0.64457458],[ 0.29258061 -0.48910713  0.91048173],0.503838974657282,0.5590589046478271,-0.03875684420440631,-0.04199708049156306
5,[0.29938455 1.33192299 0.64434261],[ 0.29503133 -0.49092179  0.90920851],0.45747909554893423,0.524554967880249,-0.035190699657610326,-0.03813279116020123
6,[0.29788293 1.32881263 0.64412506],[ 0.29756486 -0.49270402  0.90792262],0.4109798354653908,0.5194323062896729,-0.031613833497337755,-0.034256883843076666
7,[0.29633013 1.3257949  0.64392695],[ 0.30016667 -0.49444988  0.90662419],0.3646030099818474,0.5593528747558594,-0.028046385383219033,-0.030391181960644113
8,[0.2947396  1.32287633 0.64375182],[ 0.30282165 -0.49615565  0.9053138 ],0.3186261136594156,0.5225608348846436,-0.024509701050724277,-0.026558815842245197
9,[0.29312516 1.32006236 0.64360181],[ 0.30551442 -0.49781788  0.90399241],0.2733322367792983,0.5121190547943115,-0.02102555667533064,-0.022783382243835817
10,[0.29150063 1.31735723 0.64347777],[ 0.30822968 -0.49943346  0.90266137],0.228999569738357,0.5572102069854736,-0.017615351518335154,-0.01908806949557031
11,[0.28987946 1.31476392 0.64337941],[ 0.31095249 -0.50099968  0.90132234],0.18589115984520965,0.5197758674621582,-0.01429931998809305,-0.01549480368802281
12,[0.28827433 1.31228419 0.64330546],[ 0.31366861 -0.50251427  0.89997729],0.14424561943712094,0.5580580234527588,-0.011095816879778534,-0.012023474154965486
13,[0.28669688 1.30991858 0.64325396],[ 0.31636472 -0.50397543  0.89862839],0.10426942723039632,0.5266551971435547,-0.008020725171568948,-0.008691291758806062
14,[0.28515749 1.30766653 0.6432224 ],[ 0.31902866 -0.50538183  0.89727792],0.0661313170541353,0.529494047164917,-0.005087024388779639,-0.005512321168136642
15,[0.28366508 1.30552647 0.64320796],[ 0.32164956 -0.50673262  0.89592824],0.02995903164645522,0.5073957443237305,-0.002304540895881171,-0.0024972102731062114
16,[0.28222706 1.30349599 0.64320767],[ 0.32421796 -0.50802742  0.89458172],-0.004161527554135014,0.5491342544555664,0.0003201175041642318,0.00034688068301533834
17,[0.28084929 1.30157191 0.64321858],[ 0.32672581 -0.50926629  0.89324064],-0.03618495673294356,0.5099129676818848,0.0027834582102264274,0.0030161671028543433
18,[0.27953615 1.29975053 0.64323787],[ 0.3291665  -0.51044966  0.89190717],-0.06610319610379638,0.558769941329956,0.005084861238753568,0.005509977169608767
19,[0.27829064 1.29802765 0.64326291],[ 0.33153477 -0.51157833  0.89058334],-0.09394105876549708,0.5156960487365723,0.0072262352896536215,0.007830379158581069
20,[0.27711448 1.29639882 0.64329135],[ 0.33382663 -0.5126534   0.88927098],-0.11975096520511486,0.5543148517608643,0.009211612708085758,0.009981742536060254
21,[0.2760083  1.29485936 0.64332113],[ 0.33603924 -0.51367621  0.88797173],-0.1436073711396837,0.526555061340332,0.011046720856898746,0.011970273496681144
22,[0.27497175 1.29340454 0.64335049],[ 0.3381708  -0.51464833  0.88668703],-0.16560129503716547,0.5166800022125244,0.012738561156705037,0.013803558809466156
23,[0.27400375 1.29202959 0.64337797],[ 0.34022041 -0.51557145  0.8854181 ],-0.18583524736316168,0.547356128692627,0.014295019027935514,0.015490143149384152
24,[0.27310254 1.29072983 0.64340238],[ 0.34218793 -0.51644739  0.88416597],-0.2044187563797904,0.5184628963470459,0.015724519721522338,0.01703915615402104
25,[0.2722659  1.28950069 0.64342278],[ 0.34407388 -0.51727804  0.88293148],-0.2214645894221152,0.553825855255127,0.017035737647855015,0.018459997451205735
26,[0.27149123 1.28833777 0.64343847],[ 0.34587931 -0.51806533  0.8817153 ],-0.2370856918628443,0.5251400470733643,0.018237360912526486,0.019762081508947597
27,[0.27077569 1.28723684 0.64344892],[ 0.3476057  -0.5188112   0.88051794],-0.25139281088119325,0.5238990783691406,0.01933790852932256,0.02095463956665777
28,[0.27011627 1.28619388 0.6434538 ],[ 0.34925484 -0.51951759  0.87933976],-0.264492736321103,0.5148680210113525,0.020345595101623308,0.02204657300334275
29,[0.26950988 1.28520512 0.64345288],[ 0.35082883 -0.52018639  0.87818101],-0.2764870728997333,0.5432729721069336,0.02126823637690256,0.023046350996060123
30,[0.26895341 1.28426696 0.64344607],[ 0.35232991 -0.52081948  0.87704182],-0.28747145260447826,0.5102920532226562,0.022113188661882943,0.023961944869924003
31,[0.26844376 1.28337604 0.64343339],[ 0.35376049 -0.52141864  0.87592221],-0.29753509924554666,0.5430352687835693,0.02288731532658051,0.02480079180174599
32,[0.26797792 1.28252924 0.64341488],[ 0.35512304 -0.52198561  0.87482214],-0.30676066539846036,0.5118296146392822,0.023596974261420028,0.025569781228512157
33,[0.26755295 1.28172362 0.6433907 ],[ 0.35642009 -0.52252208  0.87374149],-0.31522427277170445,0.5557246208190918,0.024248020982438803,0.026275258212195087
34,[0.26716603 1.28095644 0.64336101],[ 0.35765418 -0.52302962  0.87268009],-0.32299569854884863,0.5286121368408203,0.024845822965296048,0.02692303897214709
35,[0.26681446 1.28022517 0.64332602],[ 0.35882784 -0.52350977  0.87163771],-0.33013866132249037,0.5085177421569824,0.025395281640191565,0.027518434718887253
36,[0.26649569 1.27952743 0.64328597],[ 0.35994356 -0.52396397  0.87061408],-0.33671117020772023,0.5441341400146484,0.02590085924674771,0.02806628075416523
37,[0.26620728 1.27886103 0.6432411 ],[ 0.3610038  -0.5243936   0.86960892],-0.3427659093014907,0.5253450870513916,0.026366608407806975,0.028570968517253537
38,[0.26594697 1.27822393 0.64319167],[ 0.36201095 -0.52479995  0.86862189],-0.3483506367818982,0.5521957874298096,0.026796202829376784,0.029036478851537734
39,[0.2657126  1.27761424 0.64313794],[ 0.36296732 -0.52518425  0.86765265],-0.3535085836978412,0.5309727191925049,0.027192967976757017,0.029466415245298094
40,[0.26550217 1.27703019 0.64308018],[ 0.36387518 -0.52554766  0.86670086],-0.35827884203717897,0.5153632164001465,0.027559910925936845,0.029864036178809616
41,[0.26531379 1.27647015 0.64301864],[ 0.36473669 -0.52589129  0.86576613],-0.3626967351610236,0.5136971473693848,0.027899748858540276,0.030232286001585694
42,[0.26514572 1.2759326  0.64295359],[ 0.36555395 -0.52621615  0.8648481 ],-0.3667941663345433,0.5403077602386475,0.028214935871887947,0.03057382398387458
43,[0.26499633 1.27541614 0.64288527],[ 0.36632896 -0.52652322  0.86394638],-0.3705999430384082,0.5191822052001953,0.0285076879260314,0.03089105134937136
44,[0.2648641  1.27491946 0.64281392],[ 0.36706366 -0.52681342  0.8630606 ],-0.3741400761557469,0.5417017936706543,0.028780005858134377,0.031186136213699
45,[0.26474762 1.27444133 0.64273978],[ 0.36775989 -0.52708762  0.86219037],-0.3774380541205701,0.5279538631439209,0.029033696470813084,0.03146103643582313
46,[0.26464557 1.27398061 0.64266307],[ 0.36841942 -0.52734661  0.86133531],-0.3805150927855712,0.5478687286376953,0.029270391752736248,0.031717520445575666
47,[0.26455676 1.27353627 0.64258401],[ 0.36904394 -0.52759117  0.86049506],-0.3833903622006074,0.5170009136199951,0.029491566323123646,0.03195718614658726
48,[0.26448005 1.27310731 0.64250281],[ 0.36963508 -0.52782202  0.85966923],-0.38608119175108474,0.5160958766937256,0.029698553211621903,0.03218147801542758
49,[0.2644144  1.27269281 0.64241965],[ 0.37019436 -0.52803983  0.85885747],-0.38860325523710254,0.5499508380889893,0.029892558095161732,0.03239170252872406
50,[0.26435885 1.27229193 0.64233474],[ 0.37072327 -0.52824525  0.85805941],-0.39097073751635536,0.5210390090942383,0.03007467211664272,0.032589042053543
51,[0.26431251 1.27190386 0.64224825],[ 0.3712232  -0.52843887  0.85727471],-0.39319648431492643,0.5551319122314453,0.030245883408840494,0.03277456733474422
52,[0.26427454 1.27152786 0.64216034],[ 0.37169549 -0.52862125  0.85650302],-0.39529213675060215,0.5240178108215332,0.03040708744235401,0.03294924870806053
53,[0.26424419 1.27116324 0.64207118],[ 0.37214142 -0.52879295  0.855744  ],-0.39726825202871563,0.5181679725646973,0.030559096309901203,0.033113966160599785
