Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30655494 1.35128619 0.64608733],[ 0.28246224 -0.48116866  0.9161429 ],0.3318897480223712,0.22783827781677246,-0.04741282114605303,-0.05594904720538961
1,[0.30640765 1.35049729 0.64648866],[ 0.28291966 -0.48263521  0.91560829],0.3154932996577943,0.22210407257080078,-0.0450704713796849,-0.05318497971304691
2,[0.30626251 1.34970807 0.64688534],[ 0.28338147 -0.48409043  0.9150759 ],0.2992156382703609,0.22455811500549316,-0.04274509118148013,-0.050440936997700754
3,[0.30611959 1.34891862 0.6472774 ],[ 0.28384748 -0.48553403  0.9145457 ],0.28305988765468215,0.23709797859191895,-0.04043712680781174,-0.04771744565992619
4,[0.30597896 1.34812904 0.64766485],[ 0.28431754 -0.48696578  0.91401768],0.2670289864488586,0.21608710289001465,-0.03814699806412265,-0.04501500108713057
5,[0.3058407  1.34733943 0.64804771],[ 0.28479146 -0.48838543  0.9134918 ],0.2511256858178624,0.22486615180969238,-0.03587509797398034,-0.04233406706302467
6,[0.30570488 1.34654989 0.64842602],[ 0.2852691  -0.48979275  0.91296804],0.23535254788561974,0.2234179973602295,-0.033621792555088535,-0.03967507550330744
7,[0.30557155 1.3457605  0.6487998 ],[ 0.28575029 -0.49118754  0.91244637],0.2197119448943789,0.23319506645202637,-0.031387420699196984,-0.03703842631395463
8,[0.30544079 1.34497136 0.64916908],[ 0.28623486 -0.4925696   0.91192677],0.20420605906592287,0.229841947555542,-0.029172294152274698,-0.034424487367822464
9,[0.30531265 1.34418256 0.64953389],[ 0.28672267 -0.49393875  0.91140921],0.18883688313553976,0.22478532791137695,-0.026976697590791392,-0.031833594594662805
10,[0.30518719 1.34339418 0.64989426],[ 0.28721357 -0.4952948   0.91089367],0.1736062215266252,0.2269279956817627,-0.024800888789517885,-0.029266052179134385
11,[0.30506447 1.3426063  0.65025024],[ 0.28770739 -0.49663762  0.91038011],0.15851569213106936,0.22286486625671387,-0.02264509887586705,-0.026722132860935496
12,[0.30494454 1.34181901 0.65060185],[ 0.288204   -0.49796706  0.90986851],0.14356672865840037,0.22617387771606445,-0.020509532665485768,-0.024202078330815974
13,[0.30482746 1.34103239 0.65094914],[ 0.28870325 -0.49928299  0.90935885],0.12876058351491387,0.22637319564819336,-0.018394369073559125,-0.021706099715932882
14,[0.30471326 1.3402465  0.65129214],[ 0.289205   -0.50058528  0.90885109],0.11409833117274515,0.22497105598449707,-0.01629976159610645,-0.01923437814779925
15,[0.304602   1.33946143 0.65163089],[ 0.28970911 -0.50187385  0.90834521],0.09958087198790838,0.23157596588134766,-0.014225838855415483,-0.016787065405918473
16,[0.30449371 1.33867724 0.65196544],[ 0.29021545 -0.5031486   0.90784118],0.08520893642592203,0.1958332061767578,-0.012172705203703147,-0.01436428463012846
17,[0.30438845 1.33789401 0.65229583],[ 0.29072389 -0.50440944  0.90733896],0.0709830896535047,0.2197709083557129,-0.010140441379072098,-0.011966131094656893
18,[0.30428624 1.33711179 0.65262211],[ 0.29123429 -0.50565632  0.90683855],0.05690373645508734,0.2189021110534668,-0.00812910520786962,-0.009592673036933131
19,[0.30418712 1.33633066 0.65294431],[ 0.29174654 -0.50688918  0.90633989],0.04297112643352052,0.23137593269348145,-0.006138732347645789,-0.0072439525343089214
20,[0.30409113 1.33555068 0.6532625 ],[ 0.29226051 -0.50810797  0.90584298],0.029185359455095594,0.22606921195983887,-0.004169337065013656,-0.004919986421964867
21,[0.3039983  1.3347719  0.65357671],[ 0.29277609 -0.50931266  0.90534777],0.015546391300311768,0.2237238883972168,-0.002220913042901681,-0.0026207672455009724
22,[0.30390865 1.33399438 0.65388699],[ 0.29329317 -0.51050323  0.90485425],0.002054039482943193,0.22204303741455078,-0.00029343421184902755,-0.0003462642418987176
23,[0.30382221 1.33321818 0.6541934 ],[ 0.29381162 -0.51167967  0.90436237],-0.011292010798286511,0.22041916847229004,0.0016131443997552159,0.0019035756571622574
24,[0.303739   1.33244334 0.65449598],[ 0.29433135 -0.51284197  0.90387212],-0.02449220060960189,0.22234702110290527,0.0034988858013716984,0.0041288268053947886
25,[0.30365906 1.33166992 0.65479478],[ 0.29485225 -0.51399014  0.90338347],-0.03754709116586036,0.2215719223022461,0.00536387016655148,0.006329583810832831
26,[0.30358239 1.33089797 0.65508987],[ 0.29537422 -0.5151242   0.90289638],-0.050457357678408477,0.22239303588867188,0.007208193954058354,0.008505960498720242
27,[0.30350902 1.33012753 0.65538128],[ 0.29589717 -0.51624417  0.90241083],-0.06322378319545102,0.22184181213378906,0.009031969027921574,0.010658088873137394
28,[0.30343895 1.32935864 0.65566907],[ 0.29642099 -0.51735008  0.90192679],-0.07584725246123053,0.2341480255126953,0.01083532178017579,0.012786118081798808
29,[0.30337222 1.32859134 0.6559533 ],[ 0.29694561 -0.51844198  0.90144423],-0.08832874581828765,0.22338414192199707,0.012618392259755378,0.014890213388113223
30,[0.30330882 1.32782568 0.65623401],[ 0.29747093 -0.51951991  0.90096313],-0.10066933317495785,0.2224109172821045,0.014381333310708264,0.01697055515424104
31,[0.30324876 1.32706169 0.65651127],[ 0.29799686 -0.52058393  0.90048345],-0.11287016805820921,0.22194671630859375,0.016124309722601315,0.0190273378385383
32,[0.30319206 1.3262994  0.65678512],[ 0.29852334 -0.5216341   0.90000518],-0.12493248176997812,0.2243797779083252,0.01784749739571116,0.021060769010448097
33,[0.30313873 1.32553886 0.65705562],[ 0.29905027 -0.52267049  0.89952827],-0.1368575776630801,0.22291779518127441,0.019551082523297156,0.02307106838554958
34,[0.30308876 1.32478009 0.65732282],[ 0.29957759 -0.52369316  0.89905271],-0.1486468255509767,0.1950240135192871,0.02123526079299667,0.025058466883172065
35,[0.30304217 1.32402312 0.65758678],[ 0.30010522 -0.52470221  0.89857846],-0.1603016562637578,0.21826791763305664,0.022900236609108258,0.027023205708657756
36,[0.30299895 1.32326798 0.65784756],[ 0.30063309 -0.52569772  0.8981055 ],-0.17182355636100088,0.21608495712280273,0.02454622233728584,0.028965535462070275
37,[0.3029591 1.3225147 0.6581052],[ 0.30116113 -0.52667978  0.89763381],-0.1832140630104795,0.21831583976745605,0.026173437572925642,0.03088571527486168
38,[0.30292262 1.32176329 0.65835976],[ 0.30168929 -0.52764848  0.89716335],-0.19447475904010475,0.2211148738861084,0.02778210843430068,0.03278401197574254
39,[0.30288952 1.3210138  0.6586113 ],[ 0.30221749 -0.52860392  0.8966941 ],-0.2056072681690636,0.2252638339996338,0.0293724668812948,0.03466069928676055
40,[0.30285979 1.32026623 0.65885987],[ 0.30274569 -0.52954621  0.89622603],-0.216613250422659,0.22633814811706543,0.030944750060379857,0.0365160570503471
41,[0.30283341 1.31952061 0.65910552],[ 0.30327382 -0.53047544  0.89575912],-0.22749439773414393,0.22510910034179688,0.032499199676306274,0.0383503704878867
42,[0.3028104  1.31877695 0.65934831],[ 0.30380183 -0.53139175  0.89529334],-0.23825242973563093,0.21326303482055664,0.034036061390804416,0.0401639294901603
43,[0.30279074 1.31803529 0.65958829],[ 0.30432967 -0.53229522  0.89482867],-0.24888908973909474,0.21217823028564453,0.03555558424844211,0.041957027939833906
44,[0.30277442 1.31729562 0.65982552],[ 0.30485729 -0.53318599  0.89436507],-0.25940614090747777,0.2132720947265625,0.03705802012963968,0.04372996306599423
45,[0.30276143 1.31655798 0.66006004],[ 0.30538464 -0.53406417  0.89390253],-0.2698053626150536,0.214569091796875,0.03854362323072195,0.04548303483058894
46,[0.30275177 1.31582236 0.66029191],[ 0.30591167 -0.53492988  0.89344102],-0.2800885469953722,0.216627836227417,0.04001264957076746,0.047216545346488906
47,[0.30274542 1.3150888  0.66052118],[ 0.30643834 -0.53578325  0.89298052],-0.29025749567440307,0.22540688514709473,0.041465356524914725,0.04893079832677057
48,[0.30274237 1.31435729 0.66074791],[ 0.30696462 -0.5366244   0.892521  ],-0.3003140166859184,0.21437478065490723,0.04290200238370263,0.05062609856471989
49,[0.30274261 1.31362785 0.66097215],[ 0.30749045 -0.53745346  0.89206244],-0.31025992156548776,0.2153770923614502,0.044322845937926826,0.05230275144394601
50,[0.30274613 1.31290049 0.66119394],[ 0.30801581 -0.53827056  0.89160481],-0.32009702261913775,0.2157278060913086,0.04572814608844825,0.0539610624779396
51,[0.30275291 1.31217523 0.66141333],[ 0.30854065 -0.53907582  0.89114809],-0.3298271303621738,0.2167067527770996,0.04711816148031055,0.05560133687831655
52,[0.30276293 1.31145206 0.66163039],[ 0.30906495 -0.53986938  0.89069226],-0.33945205112343196,0.2159280776977539,0.04849315016049028,0.05722387915094942
53,[0.30277619 1.31073101 0.66184515],[ 0.30958866 -0.54065137  0.89023729],-0.3489735848098838,0.19454693794250488,0.049853369258554825,0.05882899271913077
54,[0.30279266 1.31001206 0.66205766],[ 0.31011176 -0.54142192  0.88978317],-0.3583935228263183,0.23530912399291992,0.051199074689474044,0.06041697957287901
55,[0.30281233 1.30929524 0.66226798],[ 0.31063422 -0.54218117  0.88932986],-0.36771364614463514,0.21395206451416016,0.05253052087780502,0.06198813994346512
56,[0.30283518 1.30858055 0.66247616],[ 0.311156   -0.54292924  0.88887736],-0.37693572351717475,0.2196800708770752,0.05384796050245354,0.06354277200222096
57,[0.30286119 1.30786799 0.66268223],[ 0.31167709 -0.54366628  0.88842563],-0.3860615098284138,0.21547198295593262,0.05515164426120197,0.06508117158267258
58,[0.30289035 1.30715757 0.66288625],[ 0.31219744 -0.54439241  0.88797466],-0.3950927445792909,0.21283698081970215,0.05644182065418441,0.06660363192503217
59,[0.30292264 1.30644929 0.66308826],[ 0.31271705 -0.54510777  0.88752443],-0.4040311504984492,0.21326589584350586,0.05771873578549274,0.06811044344208515
60,[0.30295804 1.30574316 0.66328831],[ 0.31323589 -0.54581249  0.8870749 ],-0.41287843227467075,0.21378183364868164,0.058982633182095824,0.06960189350550754
61,[0.30299652 1.30503917 0.66348644],[ 0.31375392 -0.54650671  0.88662608],-0.42163627540482873,0.21486401557922363,0.06023375362926125,0.07107826625165689
62,[0.30303807 1.30433734 0.6636827 ],[ 0.31427114 -0.54719056  0.88617792],-0.4303063451517549,0.2177410125732422,0.06147233502167927,0.0725398424058926
63,[0.30308267 1.30363766 0.66387713],[ 0.31478752 -0.54786417  0.88573043],-0.4388902856065148,0.22446703910827637,0.06269861222950211,0.07398689912449675
64,[0.3031303  1.30294014 0.66406978],[ 0.31530303 -0.54852767  0.88528356],-0.44738971884965556,0.2177259922027588,0.06391281697852222,0.07541970985327975
65,[0.30318094 1.30224478 0.66426069],[ 0.31581767 -0.5491812   0.88483732],-0.45580624420617033,0.22285008430480957,0.06511517774373862,0.0768385442019842
66,[0.30323456 1.30155158 0.66444989],[ 0.31633141 -0.54982489  0.88439167],-0.46414143758899085,0.22221612930297852,0.06630591965557012,0.07824366783361275
67,[0.30329115 1.30086054 0.66463744],[ 0.31684424 -0.55045886  0.8839466 ],-0.47239685092601935,0.2167348861694336,0.06748526441800276,0.07963534236783873
68,[0.30335068 1.30017165 0.66482336],[ 0.31735614 -0.55108324  0.88350209],-0.4805740116658247,0.18796014785766602,0.06865343023797496,0.0810138252976778
69,[0.30341314 1.29948494 0.66500771],[ 0.31786709 -0.55169817  0.88305813],-0.48867442235733327,0.20985698699951172,0.06981063176533332,0.08237936991863339
70,[0.3034785  1.29880038 0.66519053],[ 0.31837708 -0.55230378  0.88261469],-0.49669956029890866,0.20911574363708496,0.07095708004270124,0.08373222526953955
71,[0.30354673 1.29811798 0.66537184],[ 0.3188861  -0.55290017  0.88217176],-0.5046508772525745,0.21053194999694824,0.0720929824646535,0.08507263608438545
72,[0.30361782 1.29743775 0.66555169],[ 0.31939412 -0.55348749  0.88172933],-0.5125297992190281,0.21173715591430664,0.07321854274557545,0.08640084275438774
73,[0.30369175 1.29675967 0.66573012],[ 0.31990114 -0.55406586  0.88128736],-0.5203377262695742,0.2151029109954834,0.07433396089565346,0.0877170812996585
74,[0.30376849 1.29608376 0.66590716],[ 0.32040715 -0.55463539  0.88084586],-0.5280760324310008,0.21480917930603027,0.07543943320442868,0.08902158334979783
75,[0.30384802 1.29541001 0.66608284],[ 0.32091213 -0.55519621  0.88040481],-0.5357460656197855,0.21573090553283691,0.07653515223139794,0.09031457613280268
76,[0.30393032 1.29473842 0.66625722],[ 0.32141607 -0.55574845  0.87996418],-0.5433491476220949,0.22114920616149902,0.0776213068031564,0.09159628247169502
77,[0.30401536 1.29406898 0.66643031],[ 0.32191895 -0.55629221  0.87952396],-0.5508865741162117,0.2219700813293457,0.07869808201660167,0.0928669207883027
78,[0.30410313 1.2934017  0.66660216],[ 0.32242078 -0.55682762  0.87908414],-0.5583596147342256,0.2182021141052246,0.0797656592477465,0.09412670511365906
79,[0.30419359 1.29273658 0.6667728 ],[ 0.32292153 -0.55735479  0.87864471],-0.5657695131599477,0.21817898750305176,0.08082421616570681,0.09537584510450905
80,[0.30428674 1.29207361 0.66694226],[ 0.3234212  -0.55787384  0.87820564],-0.5731174872601764,0.21668505668640137,0.08187392675145377,0.09661454606543769
81,[0.30438254 1.2914128  0.66711058],[ 0.32391978 -0.55838489  0.87776693],-0.5804047292466039,0.22357702255249023,0.08291496132094342,0.09784300897616384
82,[0.30448097 1.29075414 0.66727778],[ 0.32441725 -0.55888804  0.87732856],-0.5876324058657484,0.2286829948425293,0.08394748655224978,0.09906143052355838
83,[0.30458201 1.29009763 0.6674439 ],[ 0.32491362 -0.5593834   0.87689052],-0.5948016586145757,0.21645426750183105,0.08497166551636795,0.1002700031379932
84,[0.30468564 1.28944326 0.66760897],[ 0.32540886 -0.55987109  0.87645279],-0.6019136039793628,0.1953110694885254,0.08598765771133754,0.10146891503360801
85,[0.30479184 1.28879105 0.66777302],[ 0.32590298 -0.56035121  0.87601536],-0.6089693336958087,0.21857023239135742,0.08699561909940125,0.10265835025215926
86,[0.30490057 1.28814098 0.66793608],[ 0.32639595 -0.56082387  0.87557822],-0.6159699150282124,0.21363401412963867,0.08799570214688748,0.103838488710083
87,[0.30501183 1.28749306 0.66809817],[ 0.32688779 -0.56128918  0.87514135],-0.6229163910658955,0.21097111701965332,0.08898805586655649,0.10500950624846518
88,[0.30512558 1.28684728 0.66825933],[ 0.32737847 -0.56174724  0.87470475],-0.6298097810350296,0.2117750644683838,0.08997282586214708,0.10617157468560849
89,[0.30524181 1.28620365 0.66841959],[ 0.32786799 -0.56219815  0.8742684 ],-0.6366510806241851,0.21143698692321777,0.09095015437488359,0.10732486187191251
90,[0.30536049 1.28556216 0.66857897],[ 0.32835634 -0.56264201  0.87383229],-0.6434412623220319,0.22524404525756836,0.09192018033171885,0.1084695317468024
91,[0.3054816 1.2849228 0.6687375],[ 0.32884351 -0.56307892  0.87339641],-0.6501812757656982,0.21858501434326172,0.09288303939509975,0.10960574439745417
92,[0.30560512 1.28428558 0.6688952 ],[ 0.32932951 -0.56350898  0.87296075],-0.6568720480984234,0.2248857021331787,0.09383886401406048,0.11073365611908687
93,[0.30573103 1.2836505  0.6690521 ],[ 0.32981431 -0.56393229  0.87252529],-0.6635144843351873,0.2245941162109375,0.09478778347645533,0.11185341947659934
94,[0.3058593  1.28301756 0.66920823],[ 0.33029792 -0.56434894  0.87209003],-0.670109467735143,0.23103904724121094,0.09572992396216329,0.11296518336735384
95,[0.30598991 1.28238675 0.66936361],[ 0.33078032 -0.56475903  0.87165495],-0.6766578601797131,0.2188720703125,0.09666540859710186,0.11406909308491453
96,[0.30612284 1.28175807 0.66951826],[ 0.33126151 -0.56516264  0.87122005],-0.6831605025552987,0.2280261516571045,0.09759435750789981,0.11516529038356349
97,[0.30625807 1.28113153 0.66967221],[ 0.33174149 -0.56555988  0.87078532],-0.6896182151396484,0.23174309730529785,0.09851688787709263,0.11625391354343363
98,[0.30639558 1.28050712 0.66982549],[ 0.33222024 -0.56595083  0.87035074],-0.6960317979910078,0.32857298851013184,0.09943311399871539,0.11733509743611054
99,[0.30653534 1.27988483 0.6699781 ],[ 0.33269776 -0.56633557  0.86991631],-0.7024020313391759,0.22311615943908691,0.10034314733416798,0.1184089735905556
100,[0.30667733 1.27926468 0.67013009],[ 0.33317405 -0.5667142   0.86948201],-0.7087296759776918,0.18911194801330566,0.10124709656824168,0.11947567025921978
101,[0.30682154 1.27864665 0.67028146],[ 0.33364909 -0.5670868   0.86904785],-0.7150154736565297,0.22324466705322266,0.10214506766521854,0.12053531248424304
102,[0.30696794 1.27803075 0.67043224],[ 0.33412289 -0.56745346  0.8686138 ],-0.7212601474745137,0.23205304145812988,0.10303716392493054,0.12158802216360648
103,[0.3071165  1.27741697 0.67058245],[ 0.33459544 -0.56781425  0.86817986],-0.7274644022709802,0.2300736904144287,0.10392348603871146,0.12263391811715782
104,[0.30726722 1.27680532 0.6707321 ],[ 0.33506672 -0.56816927  0.86774603],-0.733628925016031,0.22438907623291016,0.10480413214514729,0.12367311615239902
105,[0.30742006 1.27619579 0.67088123],[ 0.33553674 -0.56851858  0.86731229],-0.7397543851989161,0.2144460678100586,0.10567919788555945,0.12470572912995888
106,[0.30757501 1.27558839 0.67102985],[ 0.33600548 -0.56886228  0.86687864],-0.7458414352140994,0.21847295761108398,0.10654877645915706,0.12573186702867487
107,[0.30773204 1.27498311 0.67117797],[ 0.33647295 -0.56920043  0.86644507],-0.7518907107445201,0.21522188186645508,0.10741295867778858,0.12675163701020228
108,[0.30789114 1.27437995 0.67132562],[ 0.33693914 -0.56953312  0.86601157],-0.7579028311417452,0.21772003173828125,0.10827183302024931,0.1277651434830993
109,[0.30805228 1.27377891 0.67147281],[ 0.33740403 -0.56986042  0.86557814],-0.7638783998025594,0.2219078540802002,0.10912548568607992,0.12877248816631143
110,[0.30821545 1.27317999 0.67161956],[ 0.33786764 -0.5701824   0.86514476],-0.7698180045417864,0.2252330780029297,0.10997400064882663,0.12977377015202063
111,[0.30838062 1.27258319 0.67176589],[ 0.33832994 -0.57049914  0.86471144],-0.7757222179609626,0.24549102783203125,0.11081745970870895,0.13076908596779543
112,[0.30854777 1.27198851 0.67191181],[ 0.33879094 -0.57081071  0.86427816],-0.7815915978126752,0.2260148525238037,0.11165594254466789,0.13175852963800996
113,[0.30871688 1.27139595 0.67205734],[ 0.33925062 -0.57111717  0.86384492],-0.7874266873602374,0.2180628776550293,0.1124895267657482,0.13274219274447696
114,[0.30888794 1.27080551 0.6722025 ],[ 0.33970899 -0.57141861  0.86341171],-0.7932280157326255,0.22580885887145996,0.11331828796180364,0.1337201644862821
115,[0.30906092 1.27021719 0.6723473 ],[ 0.34016604 -0.57171509  0.86297852],-0.7989960982743881,0.23148393630981445,0.11414229975348401,0.13469253173877074
116,[0.30923581 1.26963098 0.67249176],[ 0.34062176 -0.57200667  0.86254536],-0.8047314368903926,0.19378185272216797,0.11496163384148465,0.13565937911166429
117,[0.30941258 1.2690469  0.67263588],[ 0.34107615 -0.57229342  0.86211222],-0.8104345203853034,0.21567368507385254,0.11577636005504334,0.1366207890062885
118,[0.30959121 1.26846493 0.6727797 ],[ 0.3415292  -0.57257541  0.86167908],-0.8161058247976245,0.2166457176208496,0.11658654639966064,0.13757684167188544
119,[0.30977169 1.26788507 0.67292321],[ 0.34198091 -0.57285269  0.86124595],-0.8217458137282309,0.21322107315063477,0.11739225910403298,0.13852761526099644
120,[0.30995399 1.26730734 0.67306643],[ 0.34243127 -0.57312535  0.86081282],-0.8273549386632861,0.2128279209136963,0.11819356266618374,0.13947318588389854
121,[0.3101381  1.26673171 0.67320937],[ 0.34288028 -0.57339342  0.86037968],-0.8329336392914696,0.21519184112548828,0.11899051989878137,0.14041362766208185
122,[0.31032399 1.26615821 0.67335206],[ 0.34332793 -0.57365699  0.85994653],-0.8384823438154579,0.21574616432189941,0.11978319197363685,0.14134901278075823
123,[0.31051165 1.26558682 0.67349449],[ 0.34377422 -0.5739161   0.85951337],-0.8440014692576401,0.21396923065185547,0.12057163846537715,0.14227941154039786
124,[0.31070106 1.26501755 0.67363668],[ 0.34421914 -0.57417081  0.85908019],-0.849491421759963,0.21303510665893555,0.12135591739428042,0.14320489240727627
125,[0.31089221 1.26445039 0.67377865],[ 0.34466269 -0.57442119  0.85864699],-0.8549525968779788,0.21363401412963867,0.12213608526828268,0.1441255220630443
126,[0.31108506 1.26388535 0.6739204 ],[ 0.34510485 -0.57466728  0.85821376],-0.8603853798689637,0.21370697021484375,0.12291219712413767,0.145041365453298
