Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.27508151],[1.38369744],-1.1888700509698122,0.1291511058807373,0.07430437818561327,0.07430437818561327
1,[0.25494844],[1.39224297],-1.9677938891074136,0.1279139518737793,0.12298711806921335,0.12298711806921335
2,[0.23944056],[1.39114219],-2.2816641748086917,0.10310006141662598,0.14260401092554323,0.14260401092554323
3,[0.2264466],[1.38642241],-2.4828151577105637,0.12792110443115234,0.15517594735691023,0.15517594735691023
4,[0.21515307],[1.38086361],-2.6361154312394306,0.10394716262817383,0.1647572144524644,0.1647572144524644
5,[0.20519961],[1.37549901],-2.756290963734432,0.12594318389892578,0.172268185233402,0.172268185233402
6,[0.19639219],[1.37061614],-2.8499499300322406,0.10388398170471191,0.17812187062701504,0.17812187062701504
7,[0.18860468],[1.36623594],-2.9221673799090144,0.12533998489379883,0.1826354612443134,0.1826354612443134
8,[0.18174311],[1.36230698],-2.9771979066394536,0.13092994689941406,0.18607486916496585,0.18607486916496585
9,[0.17573095],[1.35877456],-3.018573905548315,0.10638594627380371,0.18866086909676968,0.18866086909676968
10,[0.17050151],[1.35559946],-3.0492029880709266,0.12715697288513184,0.1905751867544329,0.1905751867544329
11,[0.16599341],[1.35275809],-3.071470971441511,0.1043400764465332,0.19196693571509443,0.19196693571509443
12,[0.1621476],[1.35023719],-3.087329349770811,0.13353776931762695,0.19295808436067569,0.19295808436067569
13,[0.15890557],[1.348028],-3.0983633637346255,0.10328912734985352,0.1936477102334141,0.1936477102334141
14,[0.15620843],[1.34612157],-3.1058448992141177,0.12845993041992188,0.19411530620088235,0.19411530620088235
15,[0.1539969],[1.34450557],-3.110775991669633,0.10783791542053223,0.19442349947935206,0.19442349947935206
16,[0.15221184],[1.34316269],-3.1139275582835,0.12687301635742188,0.19462047239271876,0.19462047239271876
17,[0.15079528],[1.34207043],-3.1158759975537267,0.10393595695495605,0.19474224984710792,0.19474224984710792
