"Step","winter-lion-1 - CL","winter-lion-1 - CL__MIN","winter-lion-1 - CL__MAX"
"50","10","10","10"
"101","10","10","10"
"152","10","10","10"
"203","10","10","10"
"254","10","10","10"
"305","10","10","10"
"356","10","10","10"
"407","10","10","10"
"458","10","10","10"
"509","10","10","10"
"560","10","10","10"
"611","10","10","10"
"662","10","10","10"
"713","10","10","10"
"764","10","10","10"
"815","10","10","10"
"866","10","10","10"
"917","10","10","10"
"968","10","10","10"
"1019","10","10","10"
"1070","10","10","10"
"1171","20","20","20"
"1272","20","20","20"
"1373","20","20","20"
"1474","20","20","20"
"1575","20","20","20"
"1676","20","20","20"
"1777","20","20","20"
"1878","20","20","20"
"1979","20","20","20"
"2080","20","20","20"
"2181","20","20","20"
"2282","20","20","20"
"2383","20","20","20"
"2484","20","20","20"
"2585","20","20","20"
"2686","20","20","20"
"2787","20","20","20"
"2888","20","20","20"
"2989","20","20","20"
"3090","20","20","20"
"3341","50","50","50"
"3592","50","50","50"
"3843","50","50","50"
"4094","50","50","50"
"4345","50","50","50"
"4596","50","50","50"
"4847","50","50","50"
"5098","50","50","50"
"5349","50","50","50"
"5600","50","50","50"
"5851","50","50","50"
"6102","50","50","50"
"6353","50","50","50"
"6604","50","50","50"
"6855","50","50","50"
"7106","50","50","50"
"7357","50","50","50"
"7608","50","50","50"
"7859","50","50","50"
"8110","50","50","50"
"8511","80","80","80"
"8912","80","80","80"
"9313","80","80","80"
"9714","80","80","80"
"10115","80","80","80"
"10516","80","80","80"
"10917","80","80","80"
"11318","80","80","80"
"11719","80","80","80"
"12120","80","80","80"
"12521","80","80","80"
"12922","80","80","80"
"13323","80","80","80"
"13724","80","80","80"
"14125","80","80","80"
"14526","80","80","80"
"14927","80","80","80"
"15328","80","80","80"
"15729","80","80","80"
"16130","80","80","80"
"16731","120","120","120"
"17332","120","120","120"
"17933","120","120","120"
"18534","120","120","120"
"19135","120","120","120"
"19736","120","120","120"
"20337","120","120","120"
"20938","120","120","120"
"21539","120","120","120"
"22140","120","120","120"
"22741","120","120","120"
"23342","120","120","120"
"23943","120","120","120"
"24544","120","120","120"
"25145","120","120","120"
"25746","120","120","120"
"26347","120","120","120"
"26948","120","120","120"
"27549","120","120","120"
"28150","120","120","120"
