"Step","atomic-lion-15 - CL","atomic-lion-15 - CL__MIN","atomic-lion-15 - CL__MAX"
"100","20","20","20"
"201","20","20","20"
"302","20","20","20"
"403","20","20","20"
"504","20","20","20"
"605","20","20","20"
"706","20","20","20"
"807","20","20","20"
"908","20","20","20"
"1009","20","20","20"
"1110","20","20","20"
"1211","20","20","20"
"1312","20","20","20"
"1413","20","20","20"
"1514","20","20","20"
"1615","20","20","20"
"1716","20","20","20"
"1817","20","20","20"
"1918","20","20","20"
"2019","20","20","20"
"2120","20","20","20"
"2221","20","20","20"
"2322","20","20","20"
"2423","20","20","20"
"2524","20","20","20"
"2625","20","20","20"
"2726","20","20","20"
"2827","20","20","20"
"2928","20","20","20"
"3029","20","20","20"
"3130","20","20","20"
"3231","20","20","20"
"3332","20","20","20"
"3433","20","20","20"
"3534","20","20","20"
"3635","20","20","20"
"3736","20","20","20"
"3837","20","20","20"
"3938","20","20","20"
"4039","20","20","20"
"4140","20","20","20"
"4241","20","20","20"
"4342","20","20","20"
"4443","20","20","20"
"4544","20","20","20"
"4645","20","20","20"
"4746","20","20","20"
"4847","20","20","20"
"4948","20","20","20"
"5049","20","20","20"
"5150","20","20","20"
"5251","20","20","20"
"5352","20","20","20"
"5453","20","20","20"
"5554","20","20","20"
"5655","20","20","20"
"5756","20","20","20"
"5857","20","20","20"
"5958","20","20","20"
"6059","20","20","20"
"6160","20","20","20"
"6261","20","20","20"
"6362","20","20","20"
"6463","20","20","20"
"6564","20","20","20"
"6665","20","20","20"
"6766","20","20","20"
"6867","20","20","20"
"6968","20","20","20"
"7069","20","20","20"
"7170","20","20","20"
"7271","20","20","20"
"7372","20","20","20"
"7473","20","20","20"
"7574","20","20","20"
"7675","20","20","20"
"7776","20","20","20"
"7877","20","20","20"
"7978","20","20","20"
"8079","20","20","20"
"8180","20","20","20"
"8281","20","20","20"
"8382","20","20","20"
"8483","20","20","20"
"8584","20","20","20"
"8685","20","20","20"
"8786","20","20","20"
"8887","20","20","20"
"8988","20","20","20"
"9089","20","20","20"
"9190","20","20","20"
"9291","20","20","20"
"9392","20","20","20"
"9493","20","20","20"
"9594","20","20","20"
"9695","20","20","20"
"9796","20","20","20"
"9897","20","20","20"
"9998","20","20","20"
"10099","20","20","20"
"10200","20","20","20"
"10301","20","20","20"
"10402","20","20","20"
"10503","20","20","20"
"10604","20","20","20"
"10705","20","20","20"
"10806","20","20","20"
"10907","20","20","20"
"11008","20","20","20"
"11109","20","20","20"
"11210","20","20","20"
"11311","20","20","20"
"11412","20","20","20"
"11513","20","20","20"
"11614","20","20","20"
"11715","20","20","20"
"11816","20","20","20"
"11917","20","20","20"
"12018","20","20","20"
"12119","20","20","20"
"12220","20","20","20"
"12321","20","20","20"
"12422","20","20","20"
"12523","20","20","20"
"12624","20","20","20"
"12725","20","20","20"
"12826","20","20","20"
"12927","20","20","20"
"13028","20","20","20"
"13129","20","20","20"
"13230","20","20","20"
"13331","20","20","20"
"13432","20","20","20"
"13533","20","20","20"
"13634","20","20","20"
"13735","20","20","20"
"13836","20","20","20"
"13937","20","20","20"
"14038","20","20","20"
"14139","20","20","20"
"14240","20","20","20"
"14341","20","20","20"
