"Step","atomic-lion-15 - Final Train Loss","atomic-lion-15 - Final Train Loss__MIN","atomic-lion-15 - Final Train Loss__MAX"
"100","1.329925152638402","1.329925152638402","1.329925152638402"
"201","2.328281302218179","2.328281302218179","2.328281302218179"
"302","-0.712382733022746","-0.712382733022746","-0.712382733022746"
"403","-0.8928372126868289","-0.8928372126868289","-0.8928372126868289"
"504","-3.011816150661349","-3.011816150661349","-3.011816150661349"
"605","-2.5879752995590155","-2.5879752995590155","-2.5879752995590155"
"706","-1.5879590858277695","-1.5879590858277695","-1.5879590858277695"
"807","-3.876114842227633","-3.876114842227633","-3.876114842227633"
"908","-2.897888175463753","-2.897888175463753","-2.897888175463753"
"1009","-3.1426986413966542","-3.1426986413966542","-3.1426986413966542"
"1110","-4.409104487213872","-4.409104487213872","-4.409104487213872"
"1211","-2.898585478669281","-2.898585478669281","-2.898585478669281"
"1312","-3.946354718594999","-3.946354718594999","-3.946354718594999"
"1413","-4.379798071078065","-4.379798071078065","-4.379798071078065"
"1514","-4.129826227084834","-4.129826227084834","-4.129826227084834"
"1615","-4.022362056972402","-4.022362056972402","-4.022362056972402"
"1716","-4.13500141416672","-4.13500141416672","-4.13500141416672"
"1817","-4.6465703107433765","-4.6465703107433765","-4.6465703107433765"
"1918","-3.541080444472845","-3.541080444472845","-3.541080444472845"
"2019","-4.16258344519508","-4.16258344519508","-4.16258344519508"
"2120","-2.179732438907024","-2.179732438907024","-2.179732438907024"
"2221","-4.054502024233972","-4.054502024233972","-4.054502024233972"
"2322","-3.7190962269543744","-3.7190962269543744","-3.7190962269543744"
"2423","-3.7934066210296975","-3.7934066210296975","-3.7934066210296975"
"2524","-4.3094592050679825","-4.3094592050679825","-4.3094592050679825"
"2625","-0.8721471940254923","-0.8721471940254923","-0.8721471940254923"
"2726","-4.32133375836817","-4.32133375836817","-4.32133375836817"
"2827","-4.237403370562609","-4.237403370562609","-4.237403370562609"
"2928","-3.170272845647576","-3.170272845647576","-3.170272845647576"
"3029","-4.143570383177919","-4.143570383177919","-4.143570383177919"
"3130","-3.7242372357783786","-3.7242372357783786","-3.7242372357783786"
"3231","-3.668763898399465","-3.668763898399465","-3.668763898399465"
"3332","-4.40506796745092","-4.40506796745092","-4.40506796745092"
"3433","-2.892111465750979","-2.892111465750979","-2.892111465750979"
"3534","-3.6615429115055727","-3.6615429115055727","-3.6615429115055727"
"3635","-3.4073734226542762","-3.4073734226542762","-3.4073734226542762"
"3736","-3.9143972015323","-3.9143972015323","-3.9143972015323"
"3837","-3.7751124965442964","-3.7751124965442964","-3.7751124965442964"
"3938","-4.409103333282408","-4.409103333282408","-4.409103333282408"
"4039","-4.14464006217072","-4.14464006217072","-4.14464006217072"
"4140","-4.256943482627143","-4.256943482627143","-4.256943482627143"
"4241","-4.486810810755365","-4.486810810755365","-4.486810810755365"
"4342","-3.754106168535229","-3.754106168535229","-3.754106168535229"
"4443","-4.089506486388801","-4.089506486388801","-4.089506486388801"
"4544","-4.030542857414741","-4.030542857414741","-4.030542857414741"
"4645","-2.958171595255878","-2.958171595255878","-2.958171595255878"
"4746","-4.392012727395482","-4.392012727395482","-4.392012727395482"
"4847","-3.8201656153257226","-3.8201656153257226","-3.8201656153257226"
"4948","-3.0193222101531187","-3.0193222101531187","-3.0193222101531187"
"5049","-4.721869313392656","-4.721869313392656","-4.721869313392656"
"5150","-4.267291447946229","-4.267291447946229","-4.267291447946229"
"5251","-4.292610305097388","-4.292610305097388","-4.292610305097388"
"5352","-3.9789161172669947","-3.9789161172669947","-3.9789161172669947"
"5453","-4.2270582977725","-4.2270582977725","-4.2270582977725"
"5554","-3.750578962836213","-3.750578962836213","-3.750578962836213"
"5655","-3.7020924003112397","-3.7020924003112397","-3.7020924003112397"
"5756","-4.438374650513569","-4.438374650513569","-4.438374650513569"
"5857","-4.264541580113731","-4.264541580113731","-4.264541580113731"
"5958","-4.014129596729785","-4.014129596729785","-4.014129596729785"
"6059","-4.652792563531868","-4.652792563531868","-4.652792563531868"
"6160","-3.87445129813189","-3.87445129813189","-3.87445129813189"
"6261","-4.328652993598306","-4.328652993598306","-4.328652993598306"
"6362","-4.063901357277514","-4.063901357277514","-4.063901357277514"
"6463","-2.584895945913036","-2.584895945913036","-2.584895945913036"
"6564","-3.83288727644043","-3.83288727644043","-3.83288727644043"
"6665","-4.554279321758817","-4.554279321758817","-4.554279321758817"
"6766","-3.8432772067173055","-3.8432772067173055","-3.8432772067173055"
"6867","-4.197915396817471","-4.197915396817471","-4.197915396817471"
"6968","-3.9237769422087596","-3.9237769422087596","-3.9237769422087596"
"7069","-3.367698438571225","-3.367698438571225","-3.367698438571225"
"7170","-3.6458977969232884","-3.6458977969232884","-3.6458977969232884"
"7271","-4.656661013120313","-4.656661013120313","-4.656661013120313"
"7372","-4.543403035640824","-4.543403035640824","-4.543403035640824"
"7473","-3.8038954503850655","-3.8038954503850655","-3.8038954503850655"
"7574","-4.713017532751652","-4.713017532751652","-4.713017532751652"
"7675","-4.427632071360186","-4.427632071360186","-4.427632071360186"
"7776","-4.009422136110885","-4.009422136110885","-4.009422136110885"
"7877","-4.144340754568783","-4.144340754568783","-4.144340754568783"
"7978","-4.74822992858583","-4.74822992858583","-4.74822992858583"
"8079","-4.244676899705965","-4.244676899705965","-4.244676899705965"
"8180","-4.663115365675998","-4.663115365675998","-4.663115365675998"
"8281","-3.6029598751315843","-3.6029598751315843","-3.6029598751315843"
"8382","-4.668632179290295","-4.668632179290295","-4.668632179290295"
"8483","-4.392132717735161","-4.392132717735161","-4.392132717735161"
"8584","-4.011783692913816","-4.011783692913816","-4.011783692913816"
"8685","-4.524807185561324","-4.524807185561324","-4.524807185561324"
"8786","-4.306723240076697","-4.306723240076697","-4.306723240076697"
